id,titulaire,emetteur,cyberharcelementType,plateforme,accompagnement,date,genre,age,typeAccompagnement,langue,anonymat
1406,Oui,public,Propos de haine,Facebook,Non,2025-12-09,Féminin,Âges de 18 à 25 ans,Suppression,ar,Oui
1407,Non,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Non,2025-12-10,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1408,Non,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Non,2025-12-11,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1409,Oui,public,Propos de haine,Instagram,Oui,2025-12-12,Féminin,Plus de 26 ans,Juridique;Suppression,ar,Non
1410,Oui,public,Autres,Instagram,Non,2025-12-13,Féminin,Âges de 18 à 25 ans,Suppression,ar,Oui
1411,Oui,public,Diffamation,Facebook,Oui,2025-12-14,Féminin,Âges de 18 à 25 ans,Juridique;Suppression,ar,Non
1412,Oui,public,Menace de publier des photos intimes ou personnelles,WhatsApp,Non,2025-12-15,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
1413,Oui,public,Propos raciste ou discriminatoire,WhatsApp,Non,2025-12-16,Masculin,Âges de 18 à 25 ans,Suppression,ar,Oui
1414,Non,public,Publication de photos intimes ou personnelles,Facebook,Non,2025-12-17,Féminin,Âges de 18 à 25 ans,Suppression,fr,Oui
1668,,,Menace de publier des photos intimes ou personnelles,WhatsApp,Non,2025-04-10,Féminin,,Suppression,ar,Oui
1669,,,Propos de haine,Instagram,Non,2025-04-01,Féminin,,Suppression,fr,Oui
1670,,,Menace de publier des photos intimes ou personnelles,Facebook,Non,2025-03-20,,,Suppression,ar,Oui
1671,,,Menace de publier des photos intimes ou personnelles,Instagram,Oui,2025-03-12,,,Juridique,ar,Non
1672,,,Propos de haine,Facebook,Oui,2025-03-08,Féminin,Âges de 13 à 17 ans,Juridique,fr,Non
1673,,,Publication de photos intimes ou personnelles,Instagram,Non,2025-02-24,,,Suppression,fr,Oui
1674,,,Menace de publier des photos intimes ou personnelles,Facebook,Oui,2025-02-21,Masculin,,Juridique,ar,Non
1675,,,Diffamation,Facebook,Non,2025-02-21,Féminin,,Suppression,fr,Non
1676,,,Menace de publier des photos intimes ou personnelles,Facebook,Non,2025-02-16,,,Suppression,ar,Oui
1677,,,Propos de haine,Facebook,Non,2025-01-22,,,Suppression,ar,Oui
